2024-02-01T19:23:20.762Z | SyncUsers | fixUserRole | User with IdVilogi : 427502   --- not found for a user.
2024-02-01T19:39:52.652Z | SyncUsers | fixUserRole | User with IdVilogi : 427502   --- not found for a user.
2024-02-01T20:13:08.851Z | SyncUsers | fixUserRole | User with IdVilogi : 622843   --- not found for a user.
2024-02-01T20:30:57.886Z | SyncUsers | fixUserRole | User with IdVilogi : 710308   --- not found for a user.
2024-02-01T20:30:59.894Z | SyncUsers | fixUserRole | User with IdVilogi : 710174   --- not found for a user.
2024-02-01T20:34:31.892Z | SyncUsers | fixUserRole | User with IdVilogi : 758548   --- not found for a user.
2024-02-01T20:34:33.897Z | SyncUsers | fixUserRole | User with IdVilogi : 758565   --- not found for a user.
2024-02-01T20:34:39.916Z | SyncUsers | fixUserRole | User with IdVilogi : 758529   --- not found for a user.
2024-02-01T20:49:00.321Z | SyncUsers | fixUserRole | User with IdVilogi : 558792   --- not found for a user.
2024-02-01T21:15:45.410Z | SyncUsers | fixUserRole | User with IdVilogi : 758734   --- not found for a user.
2024-02-01T21:15:59.496Z | SyncUsers | fixUserRole | User with IdVilogi : 758791   --- not found for a user.
2024-02-01T21:21:44.968Z | SyncUsers | fixUserRole | User with IdVilogi : 522733   --- not found for a user.
2024-02-01T21:22:35.511Z | SyncUsers | fixUserRole | User with IdVilogi : 516496   --- not found for a user.
2024-02-01T21:22:37.526Z | SyncUsers | fixUserRole | User with IdVilogi : 516494   --- not found for a user.
2024-02-01T22:03:10.077Z | SyncUsers | fixUserRole | User with IdVilogi : 566060   --- not found for a user.
2024-02-21T21:55:42.314Z | SyncUsers | fixUserRole | User with IdVilogi : 427502   --- not found for a user.
2024-02-21T22:16:48.919Z | SyncUsers | fixUserRole | User with IdVilogi : 498398   --- not found for a user.
2024-02-21T22:24:36.116Z | SyncUsers | fixUserRole | User with IdVilogi : 522733   --- not found for a user.
2024-02-21T22:25:27.124Z | SyncUsers | fixUserRole | User with IdVilogi : 516496   --- not found for a user.
2024-02-21T22:25:29.118Z | SyncUsers | fixUserRole | User with IdVilogi : 516494   --- not found for a user.
2024-02-21T22:45:20.065Z | SyncUsers | fixUserRole | User with IdVilogi : 558792   --- not found for a user.
2024-02-21T22:56:31.446Z | SyncUsers | fixUserRole | User with IdVilogi : 566060   --- not found for a user.
2024-02-22T08:34:19.301Z | SyncUsers | fixUserRole | User with IdVilogi : 622843   --- not found for a user.
2024-02-22T09:12:21.442Z | SyncUsers | fixUserRole | User with IdVilogi : 710308   --- not found for a user.
2024-02-22T09:12:23.486Z | SyncUsers | fixUserRole | User with IdVilogi : 710174   --- not found for a user.
2024-02-22T09:16:51.027Z | SyncUsers | fixUserRole | User with IdVilogi : 758548   --- not found for a user.
2024-02-22T09:16:53.053Z | SyncUsers | fixUserRole | User with IdVilogi : 758565   --- not found for a user.
2024-02-22T09:16:59.126Z | SyncUsers | fixUserRole | User with IdVilogi : 758529   --- not found for a user.
2024-02-22T09:24:29.109Z | SyncUsers | fixUserRole | User with IdVilogi : 758734   --- not found for a user.
2024-02-22T09:24:43.407Z | SyncUsers | fixUserRole | User with IdVilogi : 758791   --- not found for a user.
